repeat,page,arm,attempt,accepted,observed_bytes,failed_requests,browser_policy_blocked_requests,validation_errors
1,1,full,1,True,351263,0,1,
1,1,lean,1,True,115915,0,1,
1,2,lean,1,True,115978,0,1,
1,2,full,1,True,377668,0,1,
1,3,full,1,True,372480,0,1,
1,3,lean,1,True,116128,0,1,
1,4,lean,1,True,116327,0,1,
1,4,full,1,True,370352,0,1,
1,5,full,1,True,380561,0,1,
1,5,lean,1,True,116216,0,1,
1,6,lean,1,True,116141,0,1,
1,6,full,1,True,385351,0,1,
1,7,full,1,True,376604,0,1,
1,7,lean,1,True,116072,0,1,
1,8,lean,1,True,115997,0,1,
1,8,full,1,True,379351,0,1,
1,9,full,1,True,373110,0,1,
1,9,lean,1,True,115995,0,1,
1,10,lean,1,True,116062,0,1,
1,10,full,1,True,369300,0,1,
1,11,full,1,True,352856,0,1,
1,11,lean,1,True,115928,0,1,
1,12,lean,1,True,115890,0,1,
1,12,full,1,True,390868,0,1,
1,13,full,1,True,392562,0,1,
1,13,lean,1,True,116055,0,1,
1,14,lean,1,True,116007,0,1,
1,14,full,1,True,376928,0,1,
1,15,full,1,True,378694,0,1,
1,15,lean,1,True,116116,0,1,
1,16,lean,1,True,116004,0,1,
1,16,full,1,True,356009,0,1,
1,17,full,1,True,370855,0,1,
1,17,lean,1,True,115744,0,1,
1,18,lean,1,True,116029,0,1,
1,18,full,1,True,369459,0,1,
1,19,full,1,True,374686,0,1,
1,19,lean,1,True,116119,0,1,
1,20,lean,1,True,116113,0,1,
1,20,full,1,True,366610,0,1,
1,21,full,1,True,343957,0,1,
1,21,lean,1,True,115904,0,1,
1,22,lean,1,True,116017,0,1,
1,22,full,1,True,369587,0,1,
1,23,full,1,True,357733,0,1,
1,23,lean,1,True,116204,0,1,
1,24,lean,1,True,116027,0,1,
1,24,full,1,True,363651,0,1,
1,25,full,1,True,362497,0,1,
1,25,lean,1,True,116419,0,1,
1,26,lean,1,True,115890,0,1,
1,26,full,1,True,363472,0,1,
1,27,full,1,True,374791,0,1,
1,27,lean,1,True,116041,0,1,
1,28,lean,1,True,116096,0,1,
1,28,full,1,True,352771,0,1,
1,29,full,1,True,372218,0,1,
1,29,lean,1,True,115908,0,1,
1,30,lean,1,True,115833,0,1,
1,30,full,1,True,377380,0,1,
1,31,full,1,True,363910,0,1,
1,31,lean,1,True,115866,0,1,
1,32,lean,1,True,115898,0,1,
1,32,full,1,True,361389,0,1,
1,33,full,1,True,375577,0,1,
1,33,lean,1,True,116075,0,1,
1,34,lean,1,True,115832,0,1,
1,34,full,1,True,370582,0,1,
1,35,full,1,True,360141,0,1,
1,35,lean,1,True,115927,0,1,
1,36,lean,1,True,115898,0,1,
1,36,full,1,True,367725,0,1,
1,37,full,1,True,364322,0,1,
1,37,lean,1,True,115872,0,1,
1,38,lean,1,True,116077,0,1,
1,38,full,1,True,367129,0,1,
1,39,full,1,True,361908,0,1,
1,39,lean,1,True,116008,0,1,
1,40,lean,1,True,115879,0,1,
1,40,full,1,True,357174,0,1,
1,41,full,1,True,350819,0,1,
1,41,lean,1,True,115902,0,1,
1,42,lean,1,True,116015,0,1,
1,42,full,1,True,371115,0,1,
1,43,full,1,True,355768,0,1,
1,43,lean,1,True,115797,0,1,
1,44,lean,1,True,115795,0,1,
1,44,full,1,True,346092,0,1,
1,45,full,1,True,353411,0,1,
1,45,lean,1,True,115931,0,1,
1,46,lean,1,True,115785,0,1,
1,46,full,1,True,358860,0,1,
1,47,full,1,True,375847,0,1,
1,47,lean,1,True,115692,0,1,
1,48,lean,1,True,115669,0,1,
1,48,full,1,True,377747,0,1,
1,49,full,1,True,363784,0,1,
1,49,lean,1,True,115716,0,1,
1,50,lean,1,True,115824,0,1,
1,50,full,1,True,373023,0,1,
2,1,full,1,True,351250,0,1,
