repeat,page,arm,started_at,observed_bytes,completed_requests,failed_requests,intentionally_blocked_requests,browser_policy_blocked_requests,missing_sizes,duration_ms,document_status
1,1,full,2026-09-22T12:46:42.377Z,351263,30,0,0,1,0,5586,200
1,1,lean,2026-09-22T12:46:48.387Z,115915,9,0,40,1,0,4860,200
1,2,lean,2026-09-22T12:46:53.673Z,115978,9,0,36,1,0,4842,200
1,2,full,2026-09-22T12:46:58.937Z,377668,30,0,0,1,0,5999,200
1,3,full,2026-09-22T12:47:05.357Z,372480,30,0,0,1,0,6446,200
1,3,lean,2026-09-22T12:47:12.229Z,116128,9,0,42,1,0,4668,200
1,4,lean,2026-09-22T12:47:17.343Z,116327,9,0,41,1,0,4748,200
1,4,full,2026-09-22T12:47:22.512Z,370352,30,0,0,1,0,6689,200
1,5,full,2026-09-22T12:47:29.625Z,380561,30,0,0,1,0,6166,200
1,5,lean,2026-09-22T12:47:36.207Z,116216,9,0,30,1,0,4882,200
1,6,lean,2026-09-22T12:47:41.508Z,116141,9,0,38,1,0,4994,200
1,6,full,2026-09-22T12:47:46.980Z,385351,30,0,0,1,0,6353,200
1,7,full,2026-09-22T12:47:53.757Z,376604,30,0,0,1,0,6527,200
1,7,lean,2026-09-22T12:48:00.708Z,116072,9,0,37,1,0,5142,200
1,8,lean,2026-09-22T12:48:06.274Z,115997,9,0,38,1,0,4919,200
1,8,full,2026-09-22T12:48:11.606Z,379351,30,0,0,1,0,6076,200
1,9,full,2026-09-22T12:48:18.109Z,373110,30,0,0,1,0,6482,200
1,9,lean,2026-09-22T12:48:25.007Z,115995,9,0,37,1,0,4901,200
1,10,lean,2026-09-22T12:48:30.313Z,116062,9,0,30,1,0,4956,200
1,10,full,2026-09-22T12:48:35.711Z,369300,30,0,0,1,0,6325,200
1,11,full,2026-09-22T12:48:42.509Z,352856,30,0,0,1,0,6011,200
1,11,lean,2026-09-22T12:48:48.940Z,115928,9,0,22,1,0,5018,200
1,12,lean,2026-09-22T12:48:54.425Z,115890,9,0,26,1,0,4728,200
1,12,full,2026-09-22T12:48:59.653Z,390868,30,0,0,1,0,6580,200
1,13,full,2026-09-22T12:49:06.678Z,392562,30,0,0,1,0,6497,200
1,13,lean,2026-09-22T12:49:13.646Z,116055,9,0,22,1,0,4823,200
1,14,lean,2026-09-22T12:49:18.905Z,116007,9,0,29,1,0,5041,200
1,14,full,2026-09-22T12:49:24.378Z,376928,30,0,0,1,0,5918,200
1,15,full,2026-09-22T12:49:30.737Z,378694,30,0,0,1,0,6679,200
1,15,lean,2026-09-22T12:49:37.841Z,116116,9,0,30,1,0,5128,200
1,16,lean,2026-09-22T12:49:43.379Z,116004,9,0,37,1,0,4753,200
1,16,full,2026-09-22T12:49:48.573Z,356009,30,0,0,1,0,6256,200
1,17,full,2026-09-22T12:49:55.234Z,370855,30,0,0,1,0,6835,200
1,17,lean,2026-09-22T12:50:02.494Z,115744,9,0,30,1,0,4882,200
1,18,lean,2026-09-22T12:50:07.807Z,116029,9,0,37,1,0,4961,200
1,18,full,2026-09-22T12:50:13.212Z,369459,30,0,0,1,0,6196,200
1,19,full,2026-09-22T12:50:19.831Z,374686,30,0,0,1,0,6531,200
1,19,lean,2026-09-22T12:50:26.775Z,116119,9,0,29,1,0,4539,200
1,20,lean,2026-09-22T12:50:31.722Z,116113,9,0,26,1,0,4863,200
1,20,full,2026-09-22T12:50:37.027Z,366610,30,0,0,1,0,6325,200
1,21,full,2026-09-22T12:50:43.765Z,343957,30,0,0,1,0,6278,200
1,21,lean,2026-09-22T12:50:50.584Z,115904,9,0,22,1,0,5137,200
1,22,lean,2026-09-22T12:50:56.209Z,116017,9,0,30,1,0,4533,200
1,22,full,2026-09-22T12:51:01.212Z,369587,30,0,0,1,0,6601,200
1,23,full,2026-09-22T12:51:08.265Z,357733,30,0,0,1,0,5979,200
1,23,lean,2026-09-22T12:51:14.677Z,116204,9,0,36,1,0,4888,200
1,24,lean,2026-09-22T12:51:20.020Z,116027,9,0,33,1,0,4981,200
1,24,full,2026-09-22T12:51:25.410Z,363651,30,0,0,1,0,6414,200
1,25,full,2026-09-22T12:51:32.271Z,362497,30,0,0,1,0,6583,200
1,25,lean,2026-09-22T12:51:39.291Z,116419,9,0,29,1,0,4595,200
1,26,lean,2026-09-22T12:51:44.319Z,115890,9,0,29,1,0,5008,200
1,26,full,2026-09-22T12:51:49.773Z,363472,30,0,0,1,0,6644,200
1,27,full,2026-09-22T12:51:56.852Z,374791,30,0,0,1,0,6410,200
1,27,lean,2026-09-22T12:52:03.691Z,116041,9,0,42,1,0,4746,200
1,28,lean,2026-09-22T12:52:08.910Z,116096,9,0,35,1,0,4446,200
1,28,full,2026-09-22T12:52:13.827Z,352771,30,0,0,1,0,6047,200
1,29,full,2026-09-22T12:52:20.287Z,372218,30,0,0,1,0,6459,200
1,29,lean,2026-09-22T12:52:27.185Z,115908,9,0,40,1,0,5063,200
1,30,lean,2026-09-22T12:52:32.685Z,115833,9,0,30,1,0,4581,200
1,30,full,2026-09-22T12:52:37.715Z,377380,30,0,0,1,0,6101,200
1,31,full,2026-09-22T12:52:44.261Z,363910,30,0,0,1,0,6453,200
1,31,lean,2026-09-22T12:52:51.150Z,115866,9,0,22,1,0,4940,200
1,32,lean,2026-09-22T12:52:56.535Z,115898,9,0,29,1,0,5023,200
1,32,full,2026-09-22T12:53:01.965Z,361389,30,0,0,1,0,6537,200
1,33,full,2026-09-22T12:53:08.911Z,375577,30,0,0,1,0,6386,200
1,33,lean,2026-09-22T12:53:15.755Z,116075,9,0,37,1,0,4852,200
1,34,lean,2026-09-22T12:53:21.046Z,115832,9,0,22,1,0,4933,200
1,34,full,2026-09-22T12:53:26.402Z,370582,30,0,0,1,0,6622,200
1,35,full,2026-09-22T12:53:33.465Z,360141,30,0,0,1,0,6647,200
1,35,lean,2026-09-22T12:53:40.526Z,115927,9,0,39,1,0,4790,200
1,36,lean,2026-09-22T12:53:45.753Z,115898,9,0,39,1,0,4492,200
1,36,full,2026-09-22T12:53:50.682Z,367725,30,0,0,1,0,6813,200
1,37,full,2026-09-22T12:53:57.938Z,364322,30,0,0,1,0,6611,200
1,37,lean,2026-09-22T12:54:04.988Z,115872,9,0,34,1,0,4844,200
1,38,lean,2026-09-22T12:54:10.279Z,116077,9,0,39,1,0,4958,200
1,38,full,2026-09-22T12:54:15.677Z,367129,30,0,0,1,0,6193,200
1,39,full,2026-09-22T12:54:22.334Z,361908,30,0,0,1,0,6344,200
1,39,lean,2026-09-22T12:54:29.120Z,116008,9,0,30,1,0,4474,200
1,40,lean,2026-09-22T12:54:34.027Z,115879,9,0,30,1,0,4983,200
1,40,full,2026-09-22T12:54:39.439Z,357174,30,0,0,1,0,6227,200
1,41,full,2026-09-22T12:54:46.116Z,350819,30,0,0,1,0,6043,200
1,41,lean,2026-09-22T12:54:52.574Z,115902,9,0,40,1,0,5184,200
1,42,lean,2026-09-22T12:54:58.193Z,116015,9,0,37,1,0,5006,200
1,42,full,2026-09-22T12:55:03.625Z,371115,30,0,0,1,0,6477,200
1,43,full,2026-09-22T12:55:10.544Z,355768,30,0,0,1,0,6468,200
1,43,lean,2026-09-22T12:55:17.434Z,115797,9,0,30,1,0,5161,200
1,44,lean,2026-09-22T12:55:23.036Z,115795,9,0,33,1,0,5066,200
1,44,full,2026-09-22T12:55:28.537Z,346092,30,0,0,1,0,6332,200
1,45,full,2026-09-22T12:55:35.306Z,353411,30,0,0,1,0,6641,200
1,45,lean,2026-09-22T12:55:42.387Z,115931,9,0,25,1,0,4918,200
