repeat,arm,catalogue_page,navigation_started_at,title,url,price_gbp,availability,rating
1,full,1,2026-09-22T12:46:42.377Z,A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,51.77,In stock,3
1,full,1,2026-09-22T12:46:42.377Z,Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,53.74,In stock,1
1,full,1,2026-09-22T12:46:42.377Z,Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,50.1,In stock,1
1,full,1,2026-09-22T12:46:42.377Z,Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,47.82,In stock,4
1,full,1,2026-09-22T12:46:42.377Z,Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,54.23,In stock,5
1,full,1,2026-09-22T12:46:42.377Z,The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,22.65,In stock,1
1,full,1,2026-09-22T12:46:42.377Z,The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,In stock,4
1,full,1,2026-09-22T12:46:42.377Z,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,In stock,3
1,full,1,2026-09-22T12:46:42.377Z,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,In stock,4
1,full,1,2026-09-22T12:46:42.377Z,The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,52.15,In stock,1
1,full,1,2026-09-22T12:46:42.377Z,"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,In stock,2
1,full,1,2026-09-22T12:46:42.377Z,Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,20.66,In stock,4
1,full,1,2026-09-22T12:46:42.377Z,Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html,17.46,In stock,5
1,full,1,2026-09-22T12:46:42.377Z,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,In stock,5
1,full,1,2026-09-22T12:46:42.377Z,Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,35.02,In stock,5
1,full,1,2026-09-22T12:46:42.377Z,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,In stock,3
1,full,1,2026-09-22T12:46:42.377Z,Olio,https://books.toscrape.com/catalogue/olio_984/index.html,23.88,In stock,1
1,full,1,2026-09-22T12:46:42.377Z,Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,In stock,1
1,full,1,2026-09-22T12:46:42.377Z,Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,51.33,In stock,2
1,full,1,2026-09-22T12:46:42.377Z,It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,45.17,In stock,2
1,lean,1,2026-09-22T12:46:48.387Z,A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,51.77,In stock,3
1,lean,1,2026-09-22T12:46:48.387Z,Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,53.74,In stock,1
1,lean,1,2026-09-22T12:46:48.387Z,Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,50.1,In stock,1
1,lean,1,2026-09-22T12:46:48.387Z,Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,47.82,In stock,4
1,lean,1,2026-09-22T12:46:48.387Z,Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,54.23,In stock,5
1,lean,1,2026-09-22T12:46:48.387Z,The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,22.65,In stock,1
1,lean,1,2026-09-22T12:46:48.387Z,The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,In stock,4
1,lean,1,2026-09-22T12:46:48.387Z,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,In stock,3
1,lean,1,2026-09-22T12:46:48.387Z,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,In stock,4
1,lean,1,2026-09-22T12:46:48.387Z,The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,52.15,In stock,1
1,lean,1,2026-09-22T12:46:48.387Z,"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,In stock,2
1,lean,1,2026-09-22T12:46:48.387Z,Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,20.66,In stock,4
1,lean,1,2026-09-22T12:46:48.387Z,Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html,17.46,In stock,5
1,lean,1,2026-09-22T12:46:48.387Z,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,In stock,5
1,lean,1,2026-09-22T12:46:48.387Z,Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,35.02,In stock,5
1,lean,1,2026-09-22T12:46:48.387Z,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,In stock,3
1,lean,1,2026-09-22T12:46:48.387Z,Olio,https://books.toscrape.com/catalogue/olio_984/index.html,23.88,In stock,1
1,lean,1,2026-09-22T12:46:48.387Z,Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,In stock,1
1,lean,1,2026-09-22T12:46:48.387Z,Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,51.33,In stock,2
1,lean,1,2026-09-22T12:46:48.387Z,It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,45.17,In stock,2
1,lean,2,2026-09-22T12:46:53.673Z,In Her Wake,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,12.84,In stock,1
1,lean,2,2026-09-22T12:46:53.673Z,How Music Works,https://books.toscrape.com/catalogue/how-music-works_979/index.html,37.32,In stock,2
1,lean,2,2026-09-22T12:46:53.673Z,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,In stock,3
1,lean,2,2026-09-22T12:46:53.673Z,Chase Me (Paris Nights #2),https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,25.27,In stock,5
1,lean,2,2026-09-22T12:46:53.673Z,Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html,34.53,In stock,5
1,lean,2,2026-09-22T12:46:53.673Z,Birdsong: A Story in Pictures,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,54.64,In stock,3
1,lean,2,2026-09-22T12:46:53.673Z,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.5,In stock,3
1,lean,2,2026-09-22T12:46:53.673Z,Aladdin and His Wonderful Lamp,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,53.13,In stock,3
1,lean,2,2026-09-22T12:46:53.673Z,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.3,In stock,5
1,lean,2,2026-09-22T12:46:53.673Z,Wall and Piece,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,44.18,In stock,4
1,lean,2,2026-09-22T12:46:53.673Z,The Four Agreements: A Practical Guide to Personal Freedom,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,In stock,5
1,lean,2,2026-09-22T12:46:53.673Z,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,In stock,3
1,lean,2,2026-09-22T12:46:53.673Z,The Elephant Tree,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,23.82,In stock,5
1,lean,2,2026-09-22T12:46:53.673Z,The Bear and the Piano,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,36.89,In stock,1
